BTC-USD,Bitcoin USD,"48,099.80",-154.43,-0.32%,905.905B,27.072B,27.072B,27.072B,18.834M,
,,,,,,,,,,
ETH-USD,Ethereum USD,"3,421.54",-33.25,-0.96%,402.994B,15.83B,15.83B,15.83B,117.781M,
,,,,,,,,,,
HEX-USD,HEX USD,0.4177,-0.0169,-3.89%,72.437B,41.287M,41.287M,41.287M,173.411B,
,,,,,,,,,,
ADA-USD,Cardano USD,2.2528,-0.0586,-2.54%,72.174B,2.498B,2.498B,2.498B,32.038B,
,,,,,,,,,,
BNB-USD,BinanceCoin USD,429.24,-7.89,-1.81%,72.171B,1.524B,1.524B,1.524B,168.137M,
,,,,,,,,,,
USDT-USD,Tether USD,1.0003,0,0.00%,68.046B,62.968B,62.968B,62.968B,68.024B,
,,,,,,,,,,
SOL1-USD,Solana USD,171.23,-2.93,-1.68%,50.998B,3.223B,3.223B,3.223B,297.84M,
,,,,,,,,,,
XRP-USD,XRP USD,1.0532,-0.0068,-0.64%,49.239B,3.595B,3.595B,3.595B,46.75B,
,,,,,,,,,,
USDC-USD,USDCoin USD,0.9998,0,0.00%,32.220B,2.324B,2.324B,2.324B,32.226B,
,,,,,,,,,,
DOT1-USD,Polkadot USD,32.01,-1,-3.03%,31.609B,1.343B,1.343B,1.343B,987.579M,
,,,,,,,,,,
DOGE-USD,Dogecoin USD,0.2207,-0.0026,-1.17%,29.025B,1.1B,1.1B,1.1B,131.542B,
,,,,,,,,,,
LUNA1-USD,Terra USD,42.88,-0.51,-1.17%,17.142B,2.181B,2.181B,2.181B,399.793M,
,,,,,,,,,,
UNI3-USD,Uniswap USD,25.99,-0.95,-3.52%,15.894B,438.586M,438.586M,438.586M,611.644M,
,,,,,,,,,,
AVAX-USD,Avalanche USD,68.6,-3.23,-4.50%,15.112B,1.091B,1.091B,1.091B,220.287M,
,,,,,,,,,,
LINK-USD,Chainlink USD,27.52,-0.19,-0.69%,12.562B,994.014M,994.014M,994.014M,456.51M,
,,,,,,,,,,
ALGO-USD,Algorand USD,1.9544,0.1291,7.07%,11.925B,779.897M,779.897M,779.897M,6.102B,
,,,,,,,,,,
LTC-USD,Litecoin USD,170.76,-1.86,-1.07%,11.407B,3.011B,3.011B,3.011B,66.803M,
,,,,,,,,,,
BCH-USD,BitcoinCash USD,570.44,11.22,2.01%,10.760B,1.382B,1.382B,1.382B,18.863M,
,,,,,,,,,,
MATIC-USD,MaticNetwork USD,1.3094,-0.0289,-2.16%,8.737B,845.139M,845.139M,845.139M,6.672B,
,,,,,,,,,,
ATOM1-USD,Cosmos USD,38.83,-1.44,-3.57%,8.635B,959.31M,959.31M,959.31M,222.352M,
,,,,,,,,,,
ICP1-USD,InternetComputer USD,50.04,-1.94,-3.73%,8.328B,271.466M,271.466M,271.466M,166.447M,
,,,,,,,,,,
FIL-USD,FilecoinFutures USD,69.09,-3.54,-4.87%,7.580B,1.021B,1.021B,1.021B,109.712M,
,,,,,,,,,,
XLM-USD,Stellar USD,0.3141,-0.0119,-3.66%,7.470B,627.44M,627.44M,627.44M,23.779B,
,,,,,,,,,,
XTZ-USD,Tezos USD,8.52,1.04,13.86%,7.343B,2.455B,2.455B,2.455B,861.83M,
,,,,,,,,,,
VET-USD,VeChain USD,0.1106,-0.0044,-3.86%,7.111B,480.643M,480.643M,480.643M,64.316B,
,,,,,,,,,,
ETC-USD,EthereumClassic USD,53.67,-0.93,-1.70%,6.995B,1.018B,1.018B,1.018B,130.342M,
,,,,,,,,,,
TRX-USD,TRON USD,0.0948,-0.0006,-0.65%,6.793B,1.079B,1.079B,1.079B,71.66B,
,,,,,,,,,,
THETA-USD,THETA USD,6.08,-0.16,-2.63%,6.080B,261.265M,261.265M,261.265M,1B,
,,,,,,,,,,
HBAR-USD,HederaHashgraph USD,0.3934,-0.0072,-1.80%,5.835B,321.147M,321.147M,321.147M,14.833B,
,,,,,,,,,,
EGLD-USD,Elrond USD,250.42,-4.33,-1.70%,4.892B,169.841M,169.841M,169.841M,19.535M,
,,,,,,,,,,
XMR-USD,Monero USD,257.09,-1.21,-0.47%,4.629B,206.248M,206.248M,206.248M,18.005M,
,,,,,,,,,,
CRO-USD,CryptocomCoin USD,0.1808,0.0028,1.59%,4.566B,59.214M,59.214M,59.214M,25.263B,
,,,,,,,,,,
EOS-USD,EOS USD,4.6542,0.2342,5.30%,4.467B,1.709B,1.709B,1.709B,959.762M,
,,,,,,,,,,
AAVE-USD,Aave USD,311.76,-9.06,-2.82%,4.112B,252.477M,252.477M,252.477M,13.191M,
,,,,,,,,,,
QNT-USD,Quant USD,315.93,-11.79,-3.60%,3.814B,66.16M,66.16M,66.16M,12.073M,
,,,,,,,,,,
MIOTA-USD,IOTA USD,1.272,-0.0552,-4.16%,3.536B,150.438M,150.438M,150.438M,2.78B,
,,,,,,,,,,
GRT2-USD,TheGraph USD,0.7288,-0.0273,-3.62%,3.437B,114.312M,114.312M,114.312M,4.716B,
,,,,,,,,,,
SHIB-USD,SHIBA INU USD,0,0,4.46%,3.340B,628.635M,628.635M,628.635M,394.796T,
,,,,,,,,,,
NEO-USD,NEO USD,44.43,1.02,2.36%,3.134B,376.059M,376.059M,376.059M,70.539M,
,,,,,,,,,,
KSM-USD,Kusama USD,345.99,-14.79,-4.10%,2.931B,112.4M,112.4M,112.4M,8.47M,
,,,,,,,,,,
WAVES-USD,Waves USD,26.94,0.05,0.19%,2.864B,144.68M,144.68M,144.68M,106.334M,
,,,,,,,,,,
BSV-USD,BitcoinSV USD,145.11,3.52,2.49%,2.737B,271.121M,271.121M,271.121M,18.859M,
,,,,,,,,,,
MKR-USD,Maker USD,"2,534.02",-2.65,-0.10%,2.512B,112.664M,112.664M,112.664M,"991,328",
,,,,,,,,,,
BTT1-USD,BitTorrent USD,0.0035,0,0.65%,2.334B,280.536M,280.536M,280.536M,659.953B,
,,,,,,,,,,
OMG-USD,OmiseGO USD,16.31,0.21,1.33%,2.288B,3.533B,3.533B,3.533B,140.245M,
,,,,,,,,,,
HNT1-USD,Helium USD,21.49,2.24,11.64%,2.129B,55.286M,55.286M,55.286M,99.082M,
,,,,,,,,,,
AMP1-USD,Amp USD,0.0489,-0.0014,-2.81%,2.063B,15.42M,15.42M,15.42M,42.228B,
,,,,,,,,,,
CELO-USD,Celo USD,6.29,-0.12,-1.94%,2.058B,134.154M,134.154M,134.154M,326.913M,
,,,,,,,,,,
RUNE-USD,THORChain USD,8.72,0.15,1.75%,1.956B,80.726M,80.726M,80.726M,224.41M,
,,,,,,,,,,
ONE2-USD,Harmony USD,0.1802,0.0114,6.73%,1.921B,196.316M,196.316M,196.316M,10.66B,
,,,,,,,,,,
AR-USD,Arweave USD,56.02,-0.36,-0.64%,1.871B,66.858M,66.858M,66.858M,33.395M,
,,,,,,,,,,
CCXX-USD,CounosX USD,102.99,1.48,1.45%,1.838B,6.665M,6.665M,6.665M,17.842M,
,,,,,,,,,,
DASH-USD,Dash USD,177.08,-4.98,-2.73%,1.835B,235.952M,235.952M,235.952M,10.364M,
,,,,,,,,,,
COMP-USD,Compound USD,325.75,-21.73,-6.25%,1.794B,235.12M,235.12M,235.12M,5.506M,
,,,,,,,,,,
CHZ-USD,Chiliz USD,0.2859,-0.0051,-1.76%,1.690B,185.579M,185.579M,185.579M,5.911B,
,,,,,,,,,,
STX1-USD,Stacks USD,1.3143,-0.0523,-3.83%,1.642B,23.749M,23.749M,23.749M,1.25B,
,,,,,,,,,,
HOT1-USD,Holo USD,0.0094,0.0005,5.69%,1.617B,210.891M,210.891M,210.891M,172.896B,
,,,,,,,,,,
XDC-USD,XinFinNetwork USD,0.1306,-0.0042,-3.09%,1.607B,6.597M,6.597M,6.597M,12.299B,
,,,,,,,,,,
CTC1-USD,Creditcoin USD,2.8316,-0.0439,-1.53%,1.600B,"14,090","14,090","14,090",564.971M,
,,,,,,,,,,
DCR-USD,Decred USD,119.69,3.73,3.22%,1.600B,11.28M,11.28M,11.28M,13.369M,
,,,,,,,,,,
TFUEL-USD,ThetaFuel USD,0.2918,-0.0138,-4.50%,1.547B,47.912M,47.912M,47.912M,5.301B,
,,,,,,,,,,
ZEC-USD,Zcash USD,117.35,0.51,0.44%,1.501B,169.57M,169.57M,169.57M,12.787M,
,,,,,,,,,,
XEM-USD,NEM USD,0.1621,-0.0018,-1.10%,1.459B,54.599M,54.599M,54.599M,9B,
,,,,,,,,,,
ICX-USD,ICON USD,2.1484,0.1279,6.33%,1.442B,335.789M,335.789M,335.789M,671.294M,
,,,,,,,,,,
MANA-USD,Decentraland USD,0.761,-0.0172,-2.21%,1.383B,75.88M,75.88M,75.88M,1.817B,
,,,,,,,,,,
SUSHI-USD,Sushi USD,10.82,-0.36,-3.20%,1.377B,198.088M,198.088M,198.088M,127.244M,
,,,,,,,,,,
CEL-USD,Celsius USD,5.71,-0.11,-1.96%,1.365B,7.243M,7.243M,7.243M,238.864M,
,,,,,,,,,,
TUSD-USD,TrueUSD USD,1,-0.0002,-0.02%,1.343B,64.689M,64.689M,64.689M,1.343B,
,,,,,,,,,,
QTUM-USD,Qtum USD,13.51,0.04,0.31%,1.334B,929.807M,929.807M,929.807M,98.749M,
,,,,,,,,,,
ENJ-USD,EnjinCoin USD,1.5217,-0.0409,-2.62%,1.270B,101.203M,101.203M,101.203M,834.341M,
,,,,,,,,,,
SNX-USD,SynthetixNetworkToken USD,10.72,-0.45,-4.06%,1.231B,116.04M,116.04M,116.04M,114.842M,
,,,,,,,,,,
CRV-USD,CurveDAOToken USD,2.8707,0.2374,9.02%,1.225B,387.759M,387.759M,387.759M,426.748M,
,,,,,,,,,,
SRM-USD,Serum USD,8.9,-0.04,-0.40%,1.186B,676.125M,676.125M,676.125M,133.232M,
,,,,,,,,,,
ZIL-USD,Zilliqa USD,0.0986,-0.0012,-1.21%,1.166B,86.434M,86.434M,86.434M,11.817B,
,,,,,,,,,,
YFI-USD,yearnfinance USD,"31,510.64","-1,056.37",-3.24%,1.154B,156.506M,156.506M,156.506M,"36,637",
,,,,,,,,,,
RVN-USD,Ravencoin USD,0.1107,-0.0027,-2.34%,1.083B,63.935M,63.935M,63.935M,9.787B,
,,,,,,,,,,
BAT-USD,BasicAttentionToken USD,0.7227,-0.0033,-0.45%,1.077B,199.229M,199.229M,199.229M,1.491B,
,,,,,,,,,,
BTG-USD,BitcoinGold USD,59.1,-1.61,-2.66%,1.035B,29.606M,29.606M,29.606M,17.514M,
,,,,,,,,,,
IOST-USD,IOST USD,0.0552,-0.0026,-4.51%,999.010M,198.738M,198.738M,198.738M,18.1B,
,,,,,,,,,,
ZEN-USD,Horizen USD,77.31,-0.71,-0.90%,895.921M,44.043M,44.043M,44.043M,11.588M,
,,,,,,,,,,
BNT-USD,Bancor USD,3.8467,-0.0364,-0.94%,881.161M,38.701M,38.701M,38.701M,229.067M,
,,,,,,,,,,
ZRX-USD,0x USD,0.9964,-0.0171,-1.68%,842.261M,78.48M,78.48M,78.48M,845.342M,
,,,,,,,,,,
SC-USD,Siacoin USD,0.0166,-0.0001,-0.32%,810.308M,35.687M,35.687M,35.687M,48.932B,
,,,,,,,,,,
ONT-USD,Ontology USD,0.8919,0.0279,3.23%,780.596M,142.697M,142.697M,142.697M,875.25M,
,,,,,,,,,,
NANO-USD,Nano USD,5.74,0.76,15.27%,764.563M,118.009M,118.009M,118.009M,133.248M,
,,,,,,,,,,
SAND-USD,TheSandbox USD,0.8332,0.0246,3.04%,743.441M,225.645M,225.645M,225.645M,892.246M,
,,,,,,,,,,
DFI-USD,DeFiChain USD,2.401,-0.0339,-1.39%,721.518M,4.418M,4.418M,4.418M,300.512M,
,,,,,,,,,,
XWC-USD,WhiteCoin USD,0.961,-0.0017,-0.18%,714.564M,23.095M,23.095M,23.095M,743.533M,
,,,,,,,,,,
DGB-USD,DigiByte USD,0.0483,-0.0025,-4.93%,710.394M,36.219M,36.219M,36.219M,14.723B,
,,,,,,,,,,
VGX-USD,VoyagerToken USD,2.4197,-0.1396,-5.46%,673.852M,4.531M,4.531M,4.531M,278.482M,
,,,,,,,,,,
ANKR-USD,Ankr USD,0.0857,-0.0018,-2.08%,656.787M,39.232M,39.232M,39.232M,7.663B,
,,,,,,,,,,
UMA-USD,UMA USD,10.14,0.05,0.51%,638.362M,32.997M,32.997M,32.997M,62.95M,
,,,,,,,,,,
IOTX-USD,IoTeX USD,0.0635,-0.0019,-2.91%,605.483M,34.732M,34.732M,34.732M,9.541B,
,,,,,,,,,,
KAVA-USD,Kava USD,6.5,0.24,3.85%,594.291M,151.567M,151.567M,151.567M,91.443M,
,,,,,,,,,,
FET-USD,Fetch USD,0.796478,-0.02873,-3.48%,594.263M,143.764M,143.764M,143.764M,746.114M,
,,,,,,,,,,
LRC-USD,Loopring USD,0.410726,0.003879,0.95%,542.931M,82.925M,82.925M,82.925M,1.322B,
,,,,,,,,,,
GLM-USD,Golem USD,0.527599,-0.00885,-1.65%,527.599M,14.449M,14.449M,14.449M,1B,
,,,,,,,,,,
WAXP-USD,WAX USD,0.295633,0.022235,8.13%,522.798M,175.8M,175.8M,175.8M,1.768B,
,,,,,,,,,,
COTI-USD,COTI USD,0.560084,-0.034263,-5.76%,486.529M,172.774M,172.774M,172.774M,868.672M,
,,,,,,,,,,
RSR-USD,ReserveRights USD,0.036678,0.000963,2.70%,482.685M,49.693M,49.693M,49.693M,13.16B,
,,,,,,,,,,
ARRR-USD,PirateChain USD,2.476,-0.0166,-0.66%,463.58M,1.067M,1.067M,1.067M,187.229M,
,,,,,,,,,,
LSK-USD,Lisk USD,3.2487,-0.0096,-0.30%,418.753M,19.683M,19.683M,19.683M,128.9M,
,,,,,,,,,,
GNO-USD,Gnosis USD,277.92,4.04,1.47%,418.154M,6.282M,6.282M,6.282M,1.505M,
,,,,,,,,,,
ERG-USD,Ergo USD,12.59,-0.44,-3.34%,403.192M,3.893M,3.893M,3.893M,32.012M,
,,,,,,,,,,
STORJ-USD,Storj USD,1.2104,-0.0256,-2.07%,387.437M,34.562M,34.562M,34.562M,320.102M,
,,,,,,,,,,
VTHO-USD,VeThorToken USD,0.009507,-0.00041,-4.14%,386.654M,19.774M,19.774M,19.774M,40.67B,
,,,,,,,,,,
ETN-USD,Electroneum USD,0.020972,-0.000753,-3.47%,375.471M,"980,246","980,246","980,246",17.904B,
,,,,,,,,,,
TWT-USD,TrustWalletToken USD,1.0817,-0.0176,-1.60%,375.299M,33.296M,33.296M,33.296M,346.951M,
,,,,,,,,,,
CKB-USD,NervosNetwork USD,0.013233,-0.000403,-2.95%,371.403M,25.999M,25.999M,25.999M,28.066B,
,,,,,,,,,,
MED-USD,MediBlocQRC20 USD,0.066552,-0.00128,-1.89%,358.21M,11.991M,11.991M,11.991M,5.382B,
,,,,,,,,,,
XVG-USD,Verge USD,0.021752,-0.000413,-1.86%,357.979M,17.221M,17.221M,17.221M,16.457B,
,,,,,,,,,,
BCD-USD,BitcoinDiamond USD,1.9172,0.0472,2.52%,357.546M,7.526M,7.526M,7.526M,186.493M,
,,,,,,,,,,
CVC-USD,Civic USD,0.510563,0.019379,3.95%,342.077M,179.668M,179.668M,179.668M,670M,
,,,,,,,,,,
ARDR-USD,Ardor USD,0.326955,-0.007888,-2.36%,326.628M,16.989M,16.989M,16.989M,998.999M,
,,,,,,,,,,
RLC-USD,iExecRLC USD,3.9053,-0.0881,-2.21%,312.704M,22.848M,22.848M,22.848M,80.071M,
,,,,,,,,,,
VLX-USD,Velas USD,0.145938,-0.003721,-2.49%,310.028M,7.236M,7.236M,7.236M,2.124B,
,,,,,,,,,,
EWT-USD,EnergyWebToken USD,10.19,0.43,4.40%,306.405M,2.435M,2.435M,2.435M,30.062M,
,,,,,,,,,,
BAND-USD,BandProtocol USD,8.3859,-0.0725,-0.86%,295.115M,43.786M,43.786M,43.786M,35.192M,
,,,,,,,,,,
SNT-USD,Status USD,0.083821,-0.001395,-1.64%,290.898M,15.48M,15.48M,15.48M,3.47B,
,,,,,,,,,,
KDA-USD,Kadena USD,1.8509,0.0723,4.07%,282.32M,4.031M,4.031M,4.031M,152.532M,
,,,,,,,,,,
STRAX-USD,Stratis USD,2.0367,-0.048,-2.30%,276.981M,13.651M,13.651M,13.651M,135.996M,
,,,,,,,,,,
HIVE-USD,Hive USD,0.6772,0.027751,4.27%,272.795M,57.524M,57.524M,57.524M,402.828M,
,,,,,,,,,,
XCH-USD,ChiaNetwork USD,168.52,1.47,0.88%,266.639M,25.023M,25.023M,25.023M,1.582M,
,,,,,,,,,,
DAG-USD,Constellation USD,0.206462,-0.002866,-1.37%,261.569M,9.04M,9.04M,9.04M,1.267B,
,,,,,,,,,,
REP-USD,Augur USD,23.64,-0.64,-2.63%,260.082M,29.039M,29.039M,29.039M,11M,
,,,,,,,,,,
MAID-USD,MaidSafeCoin USD,0.553142,0.004481,0.82%,250.326M,1.196M,1.196M,1.196M,452.552M,
,,,,,,,,,,
MLN-USD,Melon USD,138.95,-5.13,-3.56%,249.099M,15.918M,15.918M,15.918M,1.793M,
,,,,,,,,,,
DERO-USD,Dero USD,22.23,2.72,13.91%,242.37M,1.849M,1.849M,1.849M,10.902M,
,,,,,,,,,,
NKN-USD,NKN USD,0.341601,0.010876,3.29%,239.121M,15.383M,15.383M,15.383M,700M,
,,,,,,,,,,
OXT-USD,Orchid USD,0.343226,0.008403,2.51%,237.062M,51.83M,51.83M,51.83M,690.69M,
,,,,,,,,,,
MIR1-USD,MirrorProtocol USD,3.03,-0.071,-2.29%,235.56M,23.632M,23.632M,23.632M,77.743M,
,,,,,,,,,,
ACH-USD,AlchemyPay USD,0.069747,-0.002016,-2.81%,220.247M,22.172M,22.172M,22.172M,3.158B,
,,,,,,,,,,
MTL-USD,Metal USD,3.2825,-0.0539,-1.62%,218.576M,45.366M,45.366M,45.366M,66.589M,
,,,,,,,,,,
STEEM-USD,Steem USD,0.554199,0.008846,1.62%,217.431M,23.958M,23.958M,23.958M,392.333M,
,,,,,,,,,,
FUN-USD,FunFair USD,0.019624,0.000287,1.48%,213.806M,23.093M,23.093M,23.093M,10.895B,
,,,,,,,,,,
ARK-USD,Ark USD,1.6032,-0.0578,-3.48%,211.974M,14.315M,14.315M,14.315M,132.215M,
,,,,,,,,,,
TOMO-USD,TomoChain USD,2.3717,-0.096,-3.89%,204.785M,16.131M,16.131M,16.131M,86.344M,
,,,,,,,,,,
NU-USD,NuCypher USD,0.297623,-0.005803,-1.91%,202.309M,22.284M,22.284M,22.284M,679.75M,
,,,,,,,,,,
PHA-USD,PhalaNetwork USD,0.738539,0.041585,5.97%,200.883M,29.046M,29.046M,29.046M,272M,
,,,,,,,,,,
ANT-USD,Aragon USD,4.9162,-0.0823,-1.65%,194.73M,15.967M,15.967M,15.967M,39.61M,
,,,,,,,,,,
SAPP-USD,Sapphire USD,0.356897,-0.001325,-0.37%,191.858M,"67,788","67,788","67,788",537.573M,
,,,,,,,,,,
SYS-USD,Syscoin USD,0.300882,-0.003196,-1.05%,186.571M,5.216M,5.216M,5.216M,620.081M,
,,,,,,,,,,
WAN-USD,Wanchain USD,0.920977,0.006868,0.75%,178.407M,6.181M,6.181M,6.181M,193.715M,
,,,,,,,,,,
VRA-USD,Verasity USD,0.03929,0.001839,4.91%,175.634M,63.196M,63.196M,63.196M,4.47B,
,,,,,,,,,,
AVA-USD,Travalacom USD,3.1311,-0.007,-0.22%,161.879M,10.547M,10.547M,10.547M,51.7M,
,,,,,,,,,,
BAL-USD,Balancer USD,22.63,-0.43,-1.87%,157.131M,35.369M,35.369M,35.369M,6.944M,
,,,,,,,,,,
PAC-USD,PACGlobal USD,0.00985,0.000163,1.69%,152.654M,"954,741","954,741","954,741",15.498B,
,,,,,,,,,,
KIN-USD,Kin USD,0.00009,0.000001,0.66%,136.248M,2.793M,2.793M,2.793M,1.518T,
,,,,,,,,,,
BTS-USD,BitShares USD,0.044601,-0.000682,-1.51%,133.557M,9.685M,9.685M,9.685M,2.995B,
,,,,,,,,,,
KMD-USD,Komodo USD,1.0023,0.0209,2.13%,128.383M,17.882M,17.882M,17.882M,128.087M,
,,,,,,,,,,
IRIS-USD,IRISnet USD,0.109566,-0.000217,-0.20%,122.73M,12.333M,12.333M,12.333M,1.12B,
,,,,,,,,,,
META-USD,Metadium USD,0.097179,-0.002707,-2.71%,121.03M,7.506M,7.506M,7.506M,1.245B,
,,,,,,,,,,
XNC-USD,XeniosCoin USD,1.5237,-0.0058,-0.38%,116.217M,"57,556","57,556","57,556",76.275M,
,,,,,,,,,,
MCO-USD,MCO USD,7.168,-0.2606,-3.51%,113.211M,"750,767","750,767","750,767",15.794M,
,,,,,,,,,,
RBTC-USD,RSKSmartBitcoin USD,"48,207.09",-117.29,-0.24%,110.955M,"75,560","75,560","75,560","2,301",
,,,,,,,,,,
NYE-USD,NewYorkExchange USD,14.14,0.91,6.89%,100.231M,"956,161","956,161","956,161",7.09M,
,,,,,,,,,,
ABBC-USD,ABBCCoin USD,0.11642,-0.001698,-1.44%,98.363M,36.515M,36.515M,36.515M,844.897M,
,,,,,,,,,,
MONA-USD,MonaCoin USD,1.488,-0.0063,-0.42%,97.804M,2.216M,2.216M,2.216M,65.73M,
,,,,,,,,,,
DNT-USD,district0x USD,0.161432,-0.000627,-0.39%,96.859M,12.873M,12.873M,12.873M,600M,
,,,,,,,,,,
DIVI-USD,Divi USD,0.037369,-0.002647,-6.61%,94.692M,"147,546","147,546","147,546",2.534B,
,,,,,,,,,,
DMCH-USD,DARMACash USD,0.42936,-0.000064,-0.01%,92.444M,"34,238","34,238","34,238",215.305M,
,,,,,,,,,,
GAS-USD,Gas USD,8.9303,0.0105,0.12%,90.449M,29.985M,29.985M,29.985M,10.128M,
,,,,,,,,,,
XHV-USD,HavenProtocol USD,6.1112,0.2644,4.52%,89.591M,1.595M,1.595M,1.595M,14.66M,
,,,,,,,,,,
HNS-USD,Handshake USD,0.210621,0.018232,9.48%,88.786M,"592,472","592,472","592,472",421.543M,
,,,,,,,,,,
NRG-USD,Energi USD,1.9381,-0.0503,-2.53%,88.316M,"188,699","188,699","188,699",45.569M,
,,,,,,,,,,
FIRO-USD,Firo USD,7.0973,0.0388,0.55%,87.798M,9.069M,9.069M,9.069M,12.371M,
,,,,,,,,,,
ADX-USD,AdEx USD,0.698122,0.235848,51.02%,91.201M,47.135M,47.135M,47.135M,130.637M,
,,,,,,,,,,
ELA-USD,Elastos USD,4.4532,-0.2178,-4.66%,87.557M,4.436M,4.436M,4.436M,19.662M,
,,,,,,,,,,
TT-USD,ThunderToken USD,0.011016,0.000312,2.91%,84.876M,17.775M,17.775M,17.775M,7.705B,
,,,,,,,,,,
BTM-USD,Bytom USD,0.051655,0.000597,1.17%,82.976M,10.601M,10.601M,10.601M,1.606B,
,,,,,,,,,,
AION-USD,Aion USD,0.163142,-0.006014,-3.56%,81.007M,8.981M,8.981M,8.981M,496.541M,
,,,,,,,,,,
RDD-USD,ReddCoin USD,0.002646,0.000141,5.64%,80.436M,"77,001","77,001","77,001",30.397B,
,,,,,,,,,,
ZEL-USD,ZelCash USD,0.426661,-0.007253,-1.67%,79.828M,1.186M,1.186M,1.186M,187.099M,
,,,,,,,,,,
REV-USD,RChain USD,0.120504,-0.000823,-0.68%,75.25M,"320,114","320,114","320,114",624.463M,
,,,,,,,,,,
WTC-USD,Waltonchain USD,0.941615,-0.003919,-0.41%,73.332M,8.164M,8.164M,8.164M,77.879M,
,,,,,,,,,,
CRU-USD,Crust USD,34.22,-0.04,-0.12%,69.923M,6.457M,6.457M,6.457M,2.044M,
,,,,,,,,,,
WOZX-USD,EFFORCE USD,0.485441,-0.004754,-0.97%,70.488M,"691,716","691,716","691,716",145.203M,
,,,,,,,,,,
GRS-USD,Groestlcoin USD,0.862196,-0.006261,-0.72%,67.7M,5.526M,5.526M,5.526M,78.52M,
,,,,,,,,,,
SBD-USD,SteemDollars USD,7.2089,0.0849,1.19%,65.658M,31.437M,31.437M,31.437M,9.108M,
,,,,,,,,,,
FIO-USD,FIOProtocol USD,0.178141,-0.005539,-3.02%,63.637M,4.358M,4.358M,4.358M,357.229M,
,,,,,,,,,,
ZNN-USD,Zenon USD,10.28,-0.01,-0.06%,62.924M,"105,293","105,293","105,293",6.121M,
,,,,,,,,,,
XCP-USD,Counterparty USD,22.68,-1.21,-5.08%,59.287M,"382,202","382,202","382,202",2.614M,
,,,,,,,,,,
BCN-USD,Bytecoin USD,0.00032,-0.000004,-1.12%,58.853M,"24,486","24,486","24,486",184.067B,
,,,,,,,,,,
BEAM-USD,Beam USD,0.58422,-0.016482,-2.74%,57.221M,11.155M,11.155M,11.155M,97.944M,
,,,,,,,,,,
SERO-USD,SuperZero USD,0.172918,-0.002027,-1.16%,57.033M,"808,298","808,298","808,298",329.825M,
,,,,,,,,,,
BEPRO-USD,BetProtocol USD,0.008218,-0.000597,-6.77%,55.594M,1.507M,1.507M,1.507M,6.765B,
,,,,,,,,,,
DGD-USD,DigixDAO USD,657.14,-0.84,-0.13%,54.841M,"7,355","7,355","7,355","83,454",
,,,,,,,,,,
PCX-USD,ChainX USD,4.7828,0.1326,2.85%,53.753M,1.678M,1.678M,1.678M,11.239M,
,,,,,,,,,,
AXEL-USD,AXEL USD,0.186775,0.000742,0.40%,52.449M,"125,760","125,760","125,760",280.813M,
,,,,,,,,,,
APL-USD,ApolloCurrency USD,0.002464,-0.000092,-3.59%,52.143M,5.299M,5.299M,5.299M,21.165B,
,,,,,,,,,,
MARO-USD,Maro USD,0.105339,-0.003618,-3.32%,52.06M,1.391M,1.391M,1.391M,494.209M,
,,,,,,,,,,
PIVX-USD,PIVX USD,0.751926,0.015756,2.14%,50.533M,"723,440","723,440","723,440",67.205M,
,,,,,,,,,,
ATRI-USD,AtariToken USD,0.054405,-0.002334,-4.11%,48.255M,"821,462","821,462","821,462",886.96M,
,,,,,,,,,,
NULS-USD,NULS USD,0.470981,-0.00394,-0.83%,46.92M,10.472M,10.472M,10.472M,99.621M,
,,,,,,,,,,
NXS-USD,Nexus USD,0.634298,-0.019022,-2.91%,45.474M,4.883M,4.883M,4.883M,71.693M,
,,,,,,,,,,
VERI-USD,Veritaseum USD,20.87,-0.58,-2.69%,44.86M,"2,556","2,556","2,556",2.15M,
,,,,,,,,,,
MWC-USD,MimbleWimbleCoin USD,4.091,0.7832,23.68%,44.1M,"209,811","209,811","209,811",10.78M,
,,,,,,,,,,
GXC-USD,GXChain USD,0.56574,-0.008891,-1.55%,42.43M,9.262M,9.262M,9.262M,75M,
,,,,,,,,,,
PART-USD,Particl USD,3.6094,-0.2052,-5.38%,41.78M,"37,135","37,135","37,135",11.575M,
,,,,,,,,,,
VITE-USD,VITE USD,0.08406,-0.001783,-2.08%,41.209M,6.427M,6.427M,6.427M,490.232M,
